production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,budget,imdb_score
123000000.0,345141403.0,2000.0,1.85,110.0,4146.0,123000000.0,6.0
120000000.0,328711434.0,2000.0,2.35,130.0,2684.0,140000000.0,6.4
120000000.0,288215319.0,2007.0,2.35,92.0,15302.0,130000000.0,5.6
120000000.0,607987022.0,2012.0,1.85,127.0,2121.0,120000000.0,8.0
120000000.0,229545589.0,2007.0,2.35,123.0,14017.0,110000000.0,5.2
120000000.0,200421835.0,2016.0,2.35,123.0,13752.0,120000000.0,7.1
120000000.0,227200000.0,2003.0,2.35,107.0,4046.0,120000000.0,4.8
120000000.0,286192091.0,2013.0,2.35,109.0,17689.0,115000000.0,6.6
120000000.0,287916633.0,2013.0,2.35,124.0,22004.0,120000000.0,7.0
120000000.0,166000000.0,2002.0,1.85,77.0,2682.0,120000000.0,5.4
120000000.0,107212751.0,2004.0,2.35,134.0,17159.0,105000000.0,6.7
120000000.0,93394462.0,2008.0,2.35,135.0,902.0,120000000.0,6.1
120000000.0,49628177.0,2010.0,1.85,121.0,993.0,120000000.0,5.3
117000000.0,258751370.0,2010.0,2.35,117.0,12731.0,117000000.0,6.3
115000000.0,1027044677.0,1999.0,2.35,136.0,37723.0,115000000.0,6.5
115000000.0,848998877.0,2005.0,2.35,140.0,44042.0,113000000.0,7.6
115000000.0,656695615.0,2002.0,1.78,142.0,42990.0,115000000.0,6.7
115000000.0,559757719.0,2001.0,1.85,92.0,15013.0,115000000.0,8.1
115000000.0,416456852.0,2013.0,2.35,138.0,23755.0,120000000.0,6.7
115000000.0,178200000.0,1997.0,2.35,108.0,1569.0,116000000.0,5.8
115000000.0,164602163.0,2016.0,2.35,120.0,46719.0,115000000.0,6.1
115000000.0,77628265.0,2002.0,2.35,153.0,15046.0,115000000.0,6.0
112000000.0,232017848.0,2010.0,2.35,85.0,1173.0,112000000.0,4.9
110000000.0,716392705.0,2013.0,2.35,91.0,87.0,100000000.0,7.8
